Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992804900797,PRONAS SAUS BOLOGNAISE 385GR,Pcs,1,IDR,17.000.00,
8992804901251,PRONAS SAUS BARBEQUE 175 GR,Pcs,1,IDR,8.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8997021220154,PRONAS ABON SAPI ORI 100GR,Pcs,1,IDR,22.500.00,
8997021220246,PRONAS ABON SAPI RS ORI 20GR,Pcs,1,IDR,3.000.00,
,Total MAKANAN KALENG :,,,IDR,50.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
89686010015,INDOMIE AYM BAWANG 40X69GR,Pcs,16,IDR,35.200.00,
89686010527,INDOMIE RASA KARI AYAM 72 GR,Pcs,4,IDR,10.000.00,
89686010947,INDOMIE GORENG 40 X 85 GR,Pcs,2,IDR,5.000.00,
89686060027,INDOMIE POPMI RASA AYAM 56 G,Pcs,15,IDR,75.000.00,
89686060126,INDOMIE POP MIE BASO 57g,Pcs,18,IDR,90.000.00,
89686060164,INDOMIE POPMIE BASO SPC 75GR,Pcs,2,IDR,10.000.00,
89686060362,INDOMIE POPMIE SOTO 77 GR,Pcs,1,IDR,5.000.00,
89686060461,INDOMIE POPMIE RS KARI AYAM,Pcs,10,IDR,50.000.00,
89686060744,INDOMIE POPMIE GORENG 80GR,Pcs,4,IDR,24.000.00,
89686060775,INDOMIE POPMIE GOR PEDAS 80GR,Pcs,1,IDR,6.000.00,
8992388111206,MIE ABC GULAI AYAM 70GR,Pcs,4,IDR,7.200.00,
8992388112654,MIE ABC CUP GORENG SPC,Pcs,3,IDR,18.000.00,
8993118731046,BIHUNKU AYAM BAWANG,Pcs,3,IDR,5.700.00,
8998866200301,MIE SEDAP GORENG 40X91GR,Pcs,1,IDR,2.200.00,
8998866200318,MIE SEDAP AYAM BAWANG 70,Pcs,6,IDR,12.000.00,
8998866200578,MIE SEDAP KARI KENTAL SPC 75 G,Pcs,1,IDR,2.000.00,
8998866200813,MIE SEDAPCUP GRG 83G,Pcs,4,IDR,20.000.00,
8998866200820,MIE SEDAP CUP AYAM BAWANG,Pcs,4,IDR,20.000.00,
8998866200837,MIE SEDAP CUP SOTO77GR,Pcs,2,IDR,10.000.00,
8998866200851,MIE SEEDAP CUP BASO72GRAM,Pcs,11,IDR,55.000.00,
8998866200929,MIE SEDAP BASO SPC 77 GR,Pcs,10,IDR,20.000.00,
8998866201346,MIE SEDAP WHITE CURRY 81GR,Pcs,1,IDR,2.000.00,
,Total MIE INSTANT :,,,IDR,484.300.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8850389108048,MOGU MOGU MANGGA 320ML,Pcs,1,IDR,7.500.00,
8850389108277,MOGU MOGU KELAPA 320ML,Pcs,1,IDR,7.500.00,
8886008101053,AQUA AQUA 24 X 600 ML,Pcs,11,IDR,33.000.00,
8886008101091,AQUA AQUA 12 X1500 ML,Pcs,12,IDR,54.000.00,
8886008101138,AQUA GALON REFILL,Pcs,5,IDR,80.000.00,
8886008101336,AQUA AQUA 24 X 330ML,Pcs,4,IDR,8.000.00,
8886057883665,KRATINGDG ENERGY DRIK 150,Pcs,1,IDR,5.000.00,
8992388101016,NU GRENTE ORG24X 500ML,Pcs,1,IDR,6.000.00,
8992388101023,NU GRENTE MADU24X 500ML,Pcs,1,IDR,6.000.00,
8992388101085,NU GRENTE ORG 24 X330M,Pcs,2,IDR,8.000.00,
8992388101092,NU GRENTE MADU24X 330ML,Pcs,3,IDR,12.000.00,
8992388133277,NU GREENTEA JASMINE GULA BATU500ML,Pcs,1,IDR,6.000.00,
8992388133345,NU TEH TARIKH 330ML,Pcs,1,IDR,6.000.00,
8992388133604,NU OCEANA 330ML,Pcs,1,IDR,4.500.00,
8992752121596,VIT LEVITE JAMBU 250 ML,Pcs,1,IDR,4.000.00,
8992752121695,VIT LEVITE SIRSAK 350 ML,Pcs,1,IDR,4.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992761002015,COCA COLA BOTOL 390ML,Pcs,3,IDR,13.500.00,
8992761002022,SPRITE BOTOL 390ML,Pcs,1,IDR,4.500.00,
8992761002039,FANTA BOTOL STRWBRY 390ML,Pcs,1,IDR,4.500.00,
8992761002046,FANTA ROYAL JERUK 390ML,Pcs,1,IDR,4.500.00,
8992761122317,FRESTEA GR TEH HIJAU500,Pcs,1,IDR,6.000.00,
8992761122324,FRESTEA GREEN MLTI 500M,Pcs,1,IDR,6.000.00,
8992761122430,FRESTEA GREEN MADU 500 ML,Pcs,1,IDR,6.000.00,
8992761122515,FRESTEA JASMINE NON KALORI,Pcs,2,IDR,12.000.00,
8992761139018,ISOTONIK ADES NATURAL 600 ML,Pcs,19,IDR,57.000.00,
8992761145019,COCA COLA 250 ML,Pcs,3,IDR,10.500.00,
8992761145033,FANTA 250ML,Pcs,1,IDR,3.500.00,
8992761166205,FRESTEA TEH HIJAU 350ML,Pcs,1,IDR,4.000.00,
8992761166212,FRESTEA APEL 350,Pcs,2,IDR,8.000.00,
8992761166229,FRESTEA MARKISA 350ML,Pcs,1,IDR,4.000.00,
8992772585026,ADEM SARI CHINGKU PET350ML,Pcs,1,IDR,6.500.00,
