Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
35622222,NASI KUNING Pcs,,32.00,IDR,160.000.00
356489,NASI UDUK Pcs,,40.00,IDR,300.000.00
36523,KERIPIK 2500 Pcs,,180.00,IDR,360.000.00
8994075260044,ROTI ALL VARIANT Pcs,,30.00,IDR,120.000.00
B123,CILOK Pcs,,70.00,IDR,175.000.00
B20011,PULSA20 Pcs,,3.00,IDR,68.000.00
B20012,PULSA25 Pcs,,3.00,IDR,79.500.00
B20016,PULSA100 Pcs,,3.00,IDR,304.500.00
B20049,GORENGAN 1000 Pcs,,300.00,IDR,300.000.00
B20050,GORENGAN 1500 Pcs,,412.00,IDR,618.000.00
B20052,KUE SUS Pcs,,79.00,IDR,118.500.00
b20051,MARTABAK Pcs,,77.00,IDR,154.000.00
Total KONSINYASI :,IDR,3.561.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991002101630,ABC SUSU ISI 5 32G,Pcs,4.00,IDR,24.000.00
8991002103238,GOOD DAY MOCACINO5X20G,Pcs,2.00,IDR,12.000.00
8991002103436,GOOD DAY COOLIN 5 X  20G,Pcs,1.00,IDR,6.000.00
8991002103764,GOOD DAY CAPPUCCINO 5X25G,Pcs,1.00,IDR,7.500.00
8991002105485,KAPAL API SPC MIX ISI 5 25 GR,Pcs,3.00,IDR,18.000.00
8991002105645,KAPAL API RS MANTAP (5)25G,Pcs,1.00,IDR,5.500.00
8992933453119,ANGET SARI SUSU JAHE,Pcs,2.00,IDR,10.000.00
8996001414002,TORABIKA CAPUCINO 25GR ISI 5,Pcs,1.00,IDR,7.500.00
9311931024036,INDOCAFE MIX ISI 5,Pcs,4.00,IDR,24.000.00
9556182014713,CADBURRY HOT COCOA,Pcs,4.00,IDR,23.000.00
"",Total KOPI PACK :,,,IDR,137.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991002105423,KAPAL API 165 G,Pcs,1.00,IDR,12.000.00
8992775913000,GERY COKLAT DRINK 28GR,Pcs,4.00,IDR,10.000.00
8994171101289,LUWAK WHITE KOFFIE 20G,Pcs,2.00,IDR,12.000.00
"",Total KOPI SACHET :,,,IDR,34.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992804900643,PRONAS KORNETKU 200GR,Pcs,1.00,IDR,15.000.00
8993296210005,SEGITIGA BIRU 1 KG BKS PUTIH,Pcs,3.00,IDR,25.500.00
8995555111252,KIMBO SOSIS SAPI,Pcs,47.00,IDR,47.000.00
8995555121268,KIMBO SOSIS AYAM,Pcs,47.00,IDR,47.000.00
B20010,PULSA10,Pcs,10.00,IDR,121.000.00
B20048,KIMBO SOSIS OTAK-OTAK,Pcs,53.00,IDR,53.000.00
B20076,MASKER HIJAU,Pcs,2.00,IDR,2.000.00
b20009,PULSA5,Pcs,5.00,IDR,36.000.00
"",Total LAIN LAIN :,,,IDR,346.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
711844330108,ABC SARDEN CHILI155 G,Pcs,1.00,IDR,8.000.00
8997021220154,PRONAS ABON SAPI ORI 100GR,Pcs,1.00,IDR,22.500.00
8997021220239,PRONAS ABON SAPI PDAS 20GR,Pcs,4.00,IDR,12.000.00
8997021220246,PRONAS ABON SAPI RS ORI 20GR,Pcs,1.00,IDR,3.000.00
"",Total MAKANAN KALENG :,,,IDR,45.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
089686010015,INDOMIE AYM BAWANG 40X69GR,Pcs,42.00,IDR,92.400.00
089686010947,INDOMIE GORENG 40 X 85 GR,Pcs,6.00,IDR,15.000.00
089686011289,INDOMIE MI KOCOK BDG 75 G,Pcs,1.00,IDR,2.500.00
089686018080,SARIMI KUAH TONGSENG AYAM,Pcs,2.00,IDR,5.200.00
089686060027,INDOMIE POPMI RASA AYAM 56 G,Pcs,10.00,IDR,50.000.00
089686060065,INDOMIE POPMIE AYAM BWG 57g,Pcs,5.00,IDR,25.000.00
089686060126,INDOMIE POP MIE BASO 57g,Pcs,4.00,IDR,20.000.00
089686060362,INDOMIE POPMIE SOTO 77 GR,Pcs,13.00,IDR,65.000.00
089686060461,INDOMIE POPMIE RS KARI AYAM,Pcs,5.00,IDR,25.000.00
089686060744,INDOMIE POPMIE GORENG 80GR,Pcs,16.00,IDR,96.000.00
